Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference.1,Label,Mode of Stimulus,Stage
710.6875,0,8284.359375,5200.7690429688,2085.5126953125,6754.7436523438,7419.2309570313,1473.205078125,5754.1025390625,1320.7691650391,4275.2563476563,2103.8461914063,6099.8715820313,7391.9228515625,5005.384765625,1065.2563476563,3175.3845214844,1015.8973999023,Lamp,audio,get_ready
710.6953125,0,6449.2309570313,2451.1538085938,2574.8718261719,7312.3076171875,6514.8715820313,4133.3334960938,5636.0258789063,4372.4360351563,8289.8720703125,2370.1281738281,7144.2309570313,1542.5640869141,4529.615234375,8105.6411132813,1376.5384521484,463.3333129883,Lamp,audio,get_ready
710.703125,0,7996.794921875,6349.615234375,1292.3077392578,2041.4102783203,4868.3334960938,4097.6923828125,5843.4614257813,6311.0258789063,5274.8715820313,5863.7177734375,3483.0769042969,5218.3334960938,8351.025390625,2179.7436523438,5743.8461914063,3724.1025390625,Lamp,audio,get_ready
710.7109375,0,2575.8974609375,4830.1284179688,1423.205078125,3777.4357910156,5681.5385742188,5509.1025390625,6179.3588867188,7717.6923828125,5403.0771484375,4006.794921875,1696.4102783203,787.6923217773,5413.9741210938,6595.1284179688,5612.9487304688,2591.5385742188,Lamp,audio,get_ready
710.71875,0,5730.1284179688,5233.58984375,5047.5639648438,3674.4870605469,5795.0,6348.7177734375,4311.0258789063,613.8461303711,3488.7180175781,2835.1281738281,961.5384521484,7292.8203125,4215.5126953125,6418.7177734375,5081.0258789063,2023.3333740234,Lamp,audio,get_ready
710.7265625,0,1260.7691650391,4151.5385742188,334.7435913086,4209.615234375,7999.615234375,266.1538391113,4811.2822265625,3766.1538085938,564.6153564453,5435.1284179688,6643.9741210938,6398.9741210938,406.5384521484,4093.7180175781,678.3333129883,3146.2819824219,Lamp,audio,get_ready
710.734375,0,5629.7436523438,3144.2307128906,2655.3845214844,2448.3332519531,5163.58984375,8074.1025390625,7710.2563476563,2216.0256347656,924.8717651367,503.3333129883,4396.1538085938,6966.5385742188,5133.58984375,7447.4360351563,6223.3334960938,531.7948608398,Lamp,audio,get_ready
710.7421875,0,6948.205078125,328.3333129883,1428.4615478516,7085.2563476563,2161.9230957031,2282.6923828125,5192.8203125,150.8974304199,3871.1538085938,4582.5639648438,4362.9487304688,6721.794921875,2390.2563476563,7798.974609375,2521.5385742188,4463.58984375,Lamp,audio,get_ready
710.75,0,1309.1025390625,2991.6667480469,623.9743652344,1706.6666259766,3263.7180175781,7711.1538085938,4376.1538085938,3456.41015625,2834.1025390625,3902.0512695313,3483.8461914063,4907.0512695313,8258.7177734375,8190.384765625,3778.3332519531,8030.8974609375,Lamp,audio,get_ready
710.7578125,0,5240.384765625,1261.6666259766,482.4358825684,7340.5126953125,5358.7177734375,2362.0512695313,5430.1284179688,5285.384765625,6327.6923828125,7685.6411132813,2769.3588867188,4460.2563476563,4122.1796875,4460.2563476563,3342.0512695313,1941.1538085938,Lamp,audio,get_ready
710.765625,0,4673.0771484375,1237.4359130859,2321.9230957031,5260.384765625,5717.4360351563,5813.8461914063,1706.5384521484,1017.9487304688,7523.205078125,4937.4360351563,3887.3076171875,3189.3588867188,3298.4614257813,2834.6154785156,7270.384765625,8229.7431640625,Lamp,audio,get_ready
710.7734375,0,5567.4360351563,6064.2309570313,3540.0,6145.7690429688,6830.0,2116.5385742188,7760.6411132813,1255.2563476563,2861.2819824219,1718.4615478516,4897.9487304688,8320.5126953125,4576.9228515625,6052.5639648438,3504.2307128906,7047.0512695313,Lamp,audio,get_ready
710.78125,0,3980.2563476563,7175.2563476563,4744.615234375,2920.1281738281,4316.0258789063,1257.4359130859,7707.6923828125,3271.794921875,2802.4357910156,7737.0512695313,2751.5385742188,750.3845825195,3504.3588867188,2950.6411132813,7978.8461914063,5579.7436523438,Lamp,audio,get_ready
710.7890625,0,5192.4360351563,3879.8718261719,6535.384765625,8193.7177734375,4633.58984375,2240.6411132813,8182.6923828125,6829.4873046875,32.3076820374,3001.9230957031,743.5897216797,1953.4615478516,2195.1281738281,6050.8974609375,4486.5385742188,8343.974609375,Lamp,audio,get_ready
710.796875,0,6793.3334960938,4271.794921875,4353.8461914063,4479.1025390625,4358.7177734375,5055.8974609375,3663.3332519531,4848.9741210938,7828.7177734375,6144.2309570313,8286.025390625,6261.794921875,3452.0512695313,867.5640869141,186.1538391113,4162.5639648438,Lamp,audio,get_ready
710.8046875,0,7687.8203125,8075.2563476563,4748.7177734375,7616.794921875,4277.5639648438,2556.1538085938,5154.4873046875,2390.5126953125,7036.2822265625,8349.4873046875,8290.76953125,4397.9487304688,6369.615234375,3884.8718261719,1522.5640869141,3718.7180175781,Lamp,audio,get_ready
710.8125,0,8190.384765625,4184.1025390625,10.1281957626,6527.6923828125,6773.58984375,5895.6411132813,2842.5642089844,2034.4871826172,3913.58984375,3694.3588867188,75.256401062,2545.6411132813,4890.1284179688,8291.9228515625,2063.9743652344,498.2051086426,Lamp,audio,get_ready
710.8203125,0,5751.2822265625,3603.0769042969,1308.4615478516,6051.6665039063,5262.6923828125,8155.2563476563,7585.0,7258.4614257813,7120.2563476563,6389.3588867188,1533.8461914063,7476.0258789063,3516.0256347656,4959.615234375,7707.1796875,27.8205032349,Lamp,audio,get_ready
710.828125,0,7750.384765625,3852.5642089844,1621.0256347656,5392.0512695313,7826.9228515625,6875.5126953125,7660.7690429688,1673.4615478516,352.3076782227,1337.8205566406,710.0,3898.3332519531,5768.205078125,2526.1538085938,2371.0256347656,6138.3334960938,Lamp,audio,get_ready
710.8359375,0,2267.0512695313,696.5384521484,4367.8203125,6079.7436523438,2543.7180175781,6544.1025390625,7706.6665039063,3369.6154785156,4376.794921875,6771.5385742188,2807.1794433594,440.7692260742,4235.6411132813,1591.2821044922,6058.58984375,5019.8715820313,Lamp,audio,get_ready
710.84375,0,1737.3077392578,860.7692260742,7523.4614257813,7559.3588867188,959.7435913086,3316.41015625,910.2564086914,6470.7690429688,6958.7177734375,7630.7690429688,6137.8203125,2038.9743652344,7742.6923828125,1877.4359130859,1798.3333740234,2148.8461914063,Lamp,audio,get_ready
710.8515625,0,502.8204956055,4827.9487304688,2621.2819824219,2584.1025390625,1079.6153564453,8254.4873046875,3793.3332519531,2890.1281738281,121.9230651855,6855.5126953125,5839.615234375,2553.8461914063,4711.5385742188,337.179473877,1219.2307128906,6344.8715820313,Lamp,audio,get_ready
710.859375,0,1134.6153564453,2489.1025390625,5517.6923828125,97.4358901978,5429.8715820313,38.8461456299,3534.3588867188,7015.5126953125,7731.6665039063,5978.3334960938,2537.9487304688,1563.5897216797,2179.1025390625,467.179473877,1271.0256347656,1867.3077392578,Lamp,audio,get_ready
710.8671875,0,3864.6154785156,953.5897216797,4498.0771484375,6080.8974609375,483.461517334,4218.7177734375,7318.8461914063,7323.205078125,324.6153869629,3057.3076171875,6220.384765625,347.9486999512,4450.2563476563,3997.9487304688,6519.4873046875,4646.9228515625,Lamp,audio,get_ready
710.875,0,5763.8461914063,2605.8974609375,1155.8974609375,4256.2822265625,8064.1025390625,3324.3588867188,3982.8205566406,8021.9228515625,457.0512695313,1247.6922607422,7194.3588867188,6442.3076171875,2590.3845214844,5864.8715820313,7005.1284179688,4722.0512695313,Lamp,audio,get_ready
710.8828125,0,6499.615234375,4845.2563476563,2834.3588867188,98.3333282471,2826.9230957031,2715.0,411.0256347656,1863.8461914063,2145.5126953125,2399.7436523438,5142.5639648438,8236.025390625,548.4615478516,8137.1796875,2614.1025390625,7174.615234375,Lamp,audio,get_ready
710.890625,0,5953.3334960938,2704.3588867188,4884.8715820313,8045.5126953125,167.179473877,2174.4870605469,1178.4615478516,8385.5126953125,990.5128173828,3476.41015625,1895.0,2052.6923828125,2367.1794433594,6873.3334960938,8189.8715820313,3897.4357910156,Lamp,audio,get_ready
710.8984375,0,4939.615234375,2452.8205566406,4135.384765625,4152.9487304688,3106.9230957031,3612.8205566406,6748.8461914063,3986.5385742188,226.7948608398,58.4615287781,411.9230651855,489.4871826172,3916.794921875,768.2051391602,7443.7177734375,3859.1025390625,Lamp,audio,get_ready
710.90625,0,1164.6153564453,5569.615234375,3519.7436523438,4668.7177734375,7056.2822265625,859.2307739258,2602.4357910156,2965.3845214844,90.7692184448,4002.5642089844,2797.0512695313,535.6409912109,3087.4357910156,3096.41015625,2635.0,6826.0258789063,Lamp,audio,get_ready
710.9140625,0,1434.3590087891,2971.6667480469,3849.3588867188,3360.7692871094,3447.9487304688,5562.0512695313,4006.1538085938,7776.6665039063,1946.2821044922,307.8204956055,6883.0771484375,1775.7691650391,3118.0769042969,3870.2563476563,5004.7436523438,2150.7692871094,Lamp,audio,get_ready
710.921875,0,2574.2307128906,7399.615234375,580.3845825195,7918.205078125,6094.2309570313,1245.0,2590.3845214844,1000.1281738281,725.6409912109,6598.3334960938,5387.1796875,3333.9743652344,7715.0,7023.7177734375,3098.205078125,369.1025695801,Lamp,audio,get_ready
710.9296875,0,5887.8203125,5691.5385742188,2168.3332519531,263.461517334,583.3333129883,6413.8461914063,5949.1025390625,4020.1281738281,6155.384765625,6525.384765625,3837.1794433594,1174.3590087891,2638.205078125,2058.3332519531,1735.7691650391,4246.794921875,Lamp,audio,get_ready
710.9375,0,7657.3076171875,257.9486999512,8220.5126953125,1984.1025390625,4235.6411132813,7317.0512695313,5184.2309570313,7450.7690429688,5813.3334960938,7377.9487304688,2416.9230957031,7374.2309570313,513.5897216797,3723.0769042969,3994.4870605469,2315.7692871094,Lamp,audio,get_ready
710.9453125,0,3199.1025390625,4610.7690429688,1378.7178955078,2629.1025390625,2572.6923828125,3864.3588867188,99.3589630127,4173.9741210938,4417.8203125,1133.3333740234,1420.0,5606.5385742188,4681.0258789063,1850.7691650391,2577.8205566406,1101.4102783203,Lamp,audio,get_ready
710.953125,0,6667.6923828125,2000.6409912109,1790.1281738281,2957.0512695313,4676.9228515625,3973.205078125,6581.5385742188,2999.8718261719,6201.9228515625,4000.6411132813,1713.7178955078,7416.41015625,1927.1794433594,269.1025695801,7018.205078125,3565.8974609375,Lamp,audio,get_ready
710.9609375,0,6046.41015625,8286.794921875,7069.8715820313,1958.3333740234,4901.41015625,3764.8718261719,4471.794921875,5867.6923828125,2784.3588867188,6050.2563476563,277.4358825684,4504.4873046875,6520.6411132813,1070.0,745.1281738281,2037.1794433594,Lamp,audio,get_ready
710.96875,0,2094.4870605469,1916.794921875,7084.1025390625,5683.58984375,2058.8461914063,934.2307739258,2675.7692871094,747.5640869141,5582.5639648438,5580.1284179688,3245.0,4345.2563476563,2968.58984375,8090.384765625,704.1025390625,1747.5640869141,Lamp,audio,get_ready
710.9765625,0,1576.0256347656,3181.5385742188,3166.41015625,790.0,6005.0,8195.1279296875,5532.8203125,2435.0,675.3845825195,3669.2307128906,2101.794921875,3360.2563476563,7091.1538085938,75.5128097534,7851.41015625,6328.3334960938,Lamp,audio,get_ready
710.984375,0,5226.41015625,4897.6923828125,4281.1538085938,2400.7692871094,1978.8461914063,8339.1025390625,1807.9487304688,2264.6154785156,4345.0,5962.5639648438,5572.4360351563,7901.2822265625,3778.9743652344,5040.8974609375,5195.7690429688,198.5897369385,Lamp,audio,get_ready
